id,texto,sentimiento,categoria,fecha,dia_semana,hora_aproximada,es_fin_de_semana,calificacion,canal,precio_rango,tiempo_desde_compra_dias,tema_principal,longitud_caracteres,num_palabras,tiene_mayusculas_excesivas,num_signos_exclamacion,tiempo_respuesta_horas,fue_respondido,resolucion,prioridad,requiere_atencion_inmediata,confianza_modelo,requiere_revision_humana
13117,Quedé impresionado positivamente,Positivo,E-commerce,2025-07-27,Sunday,Tarde,True,5,Teléfono,Medio,35,Precio,32,3,False,0,24.0,True,N/A,Baja,False,0.91,False
13118,Precio estándar. Es un producto medio,Neutro,Servicio,2024-09-17,Tuesday,Tarde,False,3,Email,Medio,9,Precio,37,6,False,0,29.0,True,N/A,Baja,False,0.73,True
13119,El servicio al cliente es terrible. No resolvieron mi problema,Negativo,Banco,2025-02-04,Tuesday,Noche,False,2,Teléfono,Económico,51,Atención,62,10,False,0,37.0,True,Resuelto,Media,False,0.79,True
13120,Producto como en las fotos. Producto tal cual se describe,Positivo,Restaurante,2025-08-22,Friday,Noche,False,5,App Móvil,Premium,34,Calidad,57,10,False,0,,False,N/A,Baja,False,0.82,False
13121,Cumple lo básico,Neutro,Restaurante,2025-02-17,Monday,Noche,False,3,Tienda Física,Premium,9,Calidad,16,3,False,0,41.0,True,Resuelto,Baja,False,0.84,False
13122,"Súper recomendado, volveré sin duda. Me fascina este producto",Positivo,Servicio,2025-08-27,Wednesday,Mañana,False,5,Email,Económico,65,Calidad,61,9,False,0,,False,N/A,Baja,False,0.95,False
13123,"Atención personalizada, me encantó",Positivo,Soporte Técnico,2025-09-21,Sunday,Noche,True,4,App Móvil,Premium,13,Atención,34,4,False,0,13.0,True,Resuelto,Baja,False,0.89,False
13124,Está ok,Neutro,Soporte Técnico,2025-05-29,Thursday,Tarde,False,3,Web,Económico,22,Producto Defectuoso,7,2,False,0,,False,N/A,Media,False,0.83,False
13125,"Está bien, pero podría mejorar",Neutro,Servicio,2024-03-30,Saturday,Noche,True,3,Teléfono,Medio,73,Calidad,30,5,False,0,,False,N/A,Baja,False,0.77,True
13126,"Me encanta, es perfecto!",Positivo,Delivery,2025-11-27,Thursday,Tarde,False,5,Chat,Económico,14,Producto Defectuoso,24,4,False,1,29.0,True,Resuelto,Baja,False,0.94,False
13127,"Muy buena atención, gracias",Positivo,Restaurante,2024-09-23,Monday,Tarde,False,4,App Móvil,Económico,56,Atención,27,4,False,0,37.0,True,N/A,Baja,False,0.89,False
13128,Producto básico pero funcional,Neutro,Delivery,2024-02-26,Monday,Mañana,False,3,Tienda Física,Medio,90,Entrega,30,4,False,0,56.0,True,N/A,Media,False,0.83,False
13129,Muy buena experiencia de compra,Positivo,Banco,2025-08-16,Saturday,Tarde,True,5,App Móvil,Medio,26,Precio,31,5,False,0,17.0,True,Resuelto,Baja,False,0.98,False
13130,La mejor compra que he hecho. Servicio rápido y eficiente,Positivo,Producto,2024-06-23,Sunday,Mañana,True,5,Chat,Medio,72,Entrega,57,10,False,0,30.0,True,N/A,Baja,False,0.89,False
13131,"Muy satisfecho con mi compra. Producto genial, lo adoro",Positivo,Soporte Técnico,2025-03-16,Sunday,Tarde,True,5,Web,Económico,84,Entrega,55,9,False,0,28.0,True,N/A,Baja,False,0.76,True
13132,"Está bien, pero podría mejorar",Neutro,Banco,2024-09-04,Wednesday,Noche,False,3,App Móvil,Económico,39,Precio,30,5,False,0,8.0,True,N/A,Baja,False,0.79,True
13133,Producto horrible,Negativo,Restaurante,2024-05-21,Tuesday,Tarde,False,1,Teléfono,Premium,17,Calidad,17,2,False,0,,False,N/A,Media,False,0.87,False
13134,"Mala calidad, no vale la pena!!",Negativo,Soporte Técnico,2024-03-29,Friday,Mañana,False,1,Tienda Física,Medio,91,Calidad,31,6,False,2,31.0,True,No Resuelto,Alta,True,0.84,False
13135,Increíblemente bueno,Positivo,E-commerce,2024-08-01,Thursday,Tarde,False,4,Web,Económico,35,Atención,20,2,False,0,7.0,True,Resuelto,Baja,False,0.93,False
13136,Pésima atención al cliente. Nefasto servicio,Negativo,Producto,2025-05-27,Tuesday,Tarde,False,2,App Móvil,Premium,8,Atención,44,6,False,0,,False,N/A,Media,False,0.78,True
13137,Pésima experiencia en general,Negativo,Soporte Técnico,2024-08-27,Tuesday,Tarde,False,1,Chat,Económico,62,Producto Defectuoso,29,4,False,0,31.0,True,Resuelto,Alta,True,0.76,True
13138,"Servicio de 10, gracias. Servicio de 10, gracias",Positivo,Restaurante,2024-12-08,Sunday,Noche,True,5,Teléfono,Premium,24,Atención,48,8,False,0,16.0,True,N/A,Baja,False,0.78,True
13139,Envío súper rápido,Positivo,Tienda Online,2024-01-20,Saturday,Tarde,True,5,Web,Económico,81,Entrega,18,3,False,0,32.0,True,Resuelto,Baja,False,0.84,False
13140,Muy buena calidad. Muy feliz con mi pedido,Positivo,E-commerce,2025-07-20,Sunday,Mañana,True,4,Email,Premium,63,Entrega,42,8,False,0,2.0,True,N/A,Baja,False,0.95,False
13141,Producto básico pero funcional,Neutro,Restaurante,2024-12-07,Saturday,Mañana,True,3,Tienda Física,Premium,14,Precio,30,4,False,0,,False,N/A,Baja,False,0.71,True
13142,"Publicidad engañosa, no es lo que muestran",Negativo,Restaurante,2025-10-26,Sunday,Noche,True,2,Teléfono,Premium,75,Precio,42,7,False,0,44.0,True,En Proceso,Media,False,0.93,False
13143,"Todo llegó en perfectas condiciones. Muy recomendable, sin dudas",Positivo,Restaurante,2025-09-08,Monday,Tarde,False,4,Web,Premium,81,Entrega,64,9,False,0,,False,N/A,Baja,False,0.95,False
13144,"MUY insatisfecho, no volveré. Muy decepcionado con la compra",Negativo,Producto,2024-08-13,Tuesday,Noche,False,1,Tienda Física,Medio,16,Entrega,60,9,False,0,63.0,True,En Proceso,Alta,True,0.83,False
13145,El servicio fue impecable. Brillante servicio!,Positivo,E-commerce,2025-05-21,Wednesday,Noche,False,4,Chat,Premium,80,Atención,46,6,False,1,31.0,True,N/A,Baja,False,0.82,False
13146,"Increíble calidad por el precio. Me encantó, superó mis expectativas!",Positivo,Hotel,2025-03-04,Tuesday,Tarde,False,4,Email,Medio,42,Precio,69,10,False,1,,False,N/A,Baja,False,0.79,True
13147,"El mejor servicio que he recibido. Calidad superior, me encantó",Positivo,Servicio,2025-06-28,Saturday,Tarde,True,5,Teléfono,Medio,7,Atención,63,10,False,0,35.0,True,N/A,Baja,False,0.94,False
13148,"Increíble calidad por el precio. Producto genial, lo adoro",Positivo,Restaurante,2025-06-30,Monday,Tarde,False,5,Tienda Física,Medio,28,Precio,58,9,False,0,4.0,True,Resuelto,Baja,False,0.97,False
13149,Nada del otro mundo. Está bien para el día a día,Neutro,Hotel,2024-10-06,Sunday,Mañana,True,3,Chat,Medio,5,Entrega,48,11,False,0,,False,N/A,Media,False,0.74,True
13150,Atención rápida y efectiva!,Positivo,Servicio,2024-08-15,Thursday,Tarde,False,4,App Móvil,Premium,35,Atención,27,4,False,1,,False,N/A,Baja,False,0.96,False
13151,Quedé muy satisfecho con todo,Positivo,Delivery,2025-01-01,Wednesday,Tarde,False,5,Tienda Física,Medio,46,Producto Defectuoso,29,5,False,0,24.0,True,Resuelto,Baja,False,0.78,True
13152,"Me gustó mucho, es justo lo que necesitaba. El equipo de soporte fue increíble",Positivo,Servicio,2025-09-21,Sunday,Mañana,True,4,App Móvil,Económico,49,Atención,78,14,False,0,4.0,True,Resuelto,Baja,False,0.96,False
13153,"Todo impecable, gracias. Producto magnífico",Positivo,Producto,2025-05-02,Friday,Noche,False,5,App Móvil,Medio,39,Precio,43,5,False,0,10.0,True,Resuelto,Baja,False,0.97,False
13154,Producto tal cual se describe,Positivo,Aplicación Móvil,2025-04-26,Saturday,Noche,True,4,Chat,Medio,72,Precio,29,5,False,0,20.0,True,Resuelto,Baja,False,0.9,False
13155,Muy feliz con mi pedido!,Positivo,Banco,2024-07-13,Saturday,Mañana,True,5,App Móvil,Económico,26,Entrega,24,5,False,1,32.0,True,N/A,Baja,False,0.81,False
13156,Atención deplorable,Negativo,Hotel,2025-05-21,Wednesday,Noche,False,1,Teléfono,Económico,77,Atención,19,2,False,0,34.0,True,En Proceso,Media,False,0.86,False
13157,No está mal. Es lo normal,Neutro,Restaurante,2025-12-04,Thursday,Noche,False,3,Web,Premium,29,Calidad,25,6,False,0,,False,N/A,Baja,False,0.81,False
13158,MUY mala experiencia. Producto inservible,Negativo,Restaurante,2025-07-08,Tuesday,Tarde,False,1,App Móvil,Medio,62,Producto Defectuoso,41,5,False,0,99.0,True,En Proceso,Alta,True,0.72,True
13159,"Fantástica atención al cliente. Me gustó mucho, es justo lo que necesitaba",Positivo,Tienda Online,2025-12-02,Tuesday,Noche,False,5,Teléfono,Medio,38,Atención,74,12,False,0,34.0,True,N/A,Baja,False,0.87,False
13160,Muy buena experiencia de compra,Positivo,Soporte Técnico,2024-01-11,Thursday,Noche,False,5,Tienda Física,Medio,77,Entrega,31,5,False,0,24.0,True,N/A,Baja,False,0.82,False
13161,Increíble calidad por el precio,Positivo,Tienda Online,2024-01-03,Wednesday,Tarde,False,5,Chat,Medio,11,Precio,31,5,False,0,24.0,True,Resuelto,Baja,False,0.78,True
13162,"Producto genial, lo adoro",Positivo,Producto,2024-02-19,Monday,Noche,False,5,Teléfono,Premium,57,Producto Defectuoso,25,4,False,0,8.0,True,Resuelto,Baja,False,0.91,False
13163,"Servicio de 10, gracias",Positivo,Restaurante,2024-05-10,Friday,Noche,False,4,Tienda Física,Económico,89,Atención,23,4,False,0,37.0,True,Resuelto,Baja,False,0.85,False
13164,Servicio lamentable,Negativo,Soporte Técnico,2025-01-10,Friday,Noche,False,2,Email,Medio,57,Atención,19,2,False,0,110.0,True,No Resuelto,Media,False,0.91,False
13165,Atención deplorable. Servicio deficiente!!,Negativo,E-commerce,2024-05-27,Monday,Tarde,False,2,App Móvil,Económico,32,Atención,42,4,False,2,54.0,True,Resuelto,Alta,True,0.72,True
13166,Increíble calidad por el precio!,Positivo,Servicio,2025-08-22,Friday,Noche,False,5,Email,Medio,72,Precio,32,5,False,1,,False,N/A,Baja,False,0.77,True
13167,Servicio estándar,Neutro,Soporte Técnico,2024-07-04,Thursday,Noche,False,3,Teléfono,Económico,42,Atención,17,2,False,0,,False,N/A,Baja,False,0.62,True
13168,Cumple sin destacar,Neutro,Banco,2025-06-03,Tuesday,Tarde,False,3,Web,Medio,22,Calidad,19,3,False,0,35.0,True,N/A,Baja,False,0.61,True
13169,"Muy buena atención, gracias. Quedé muy satisfecho con todo",Positivo,Hotel,2025-05-02,Friday,Tarde,False,4,Teléfono,Económico,71,Atención,58,9,False,0,17.0,True,Resuelto,Baja,False,0.84,False
13170,Servicio pasable,Neutro,Banco,2024-02-24,Saturday,Tarde,True,3,Tienda Física,Premium,75,Atención,16,2,False,0,,False,N/A,Baja,False,0.66,True
13171,"PRODUCTO terrible, una estafa",Negativo,Soporte Técnico,2025-05-10,Saturday,Mañana,True,1,App Móvil,Económico,80,Atención,29,4,False,0,,False,N/A,Media,False,0.96,False
13172,"Mala compra, no lo recomiendo. No vale LO que cuesta",Negativo,Soporte Técnico,2025-07-10,Thursday,Tarde,False,1,Web,Medio,36,Entrega,52,10,False,0,,False,N/A,Alta,True,0.83,False
13173,"Una joya, muy recomendado!",Positivo,Restaurante,2025-01-20,Monday,Noche,False,5,Web,Medio,87,Producto Defectuoso,26,4,False,1,,False,N/A,Baja,False,0.95,False
13174,Está bien para el precio,Neutro,Servicio,2024-09-26,Thursday,Noche,False,3,Email,Medio,7,Precio,24,5,False,0,31.0,True,Resuelto,Baja,False,0.72,True
13175,Servicio decente,Neutro,Tienda Online,2024-03-20,Wednesday,Noche,False,3,Web,Medio,1,Atención,16,2,False,0,35.0,True,N/A,Baja,False,0.63,True
13176,No sirve para nada. No cumplieron con lo prometido,Negativo,Banco,2024-06-15,Saturday,Noche,True,2,Teléfono,Premium,15,Calidad,50,9,False,0,110.0,True,No Resuelto,Media,False,0.91,False
13177,Cumple con lo básico,Neutro,Soporte Técnico,2024-01-07,Sunday,Noche,True,3,Web,Medio,39,Calidad,20,4,False,0,55.0,True,N/A,Baja,False,0.65,True
13178,Es lo que es,Neutro,Hotel,2024-09-05,Thursday,Noche,False,3,App Móvil,Económico,5,Entrega,12,4,False,0,,False,N/A,Media,False,0.85,False
13179,El personal FUE muy grosero. Muy por debajo del estándar!!,Negativo,Restaurante,2024-05-19,Sunday,Noche,True,1,Email,Premium,75,Atención,58,10,False,2,107.0,True,En Proceso,Alta,True,0.78,True
13180,Producto regular,Neutro,Delivery,2024-03-24,Sunday,Noche,True,3,Teléfono,Premium,10,Producto Defectuoso,16,2,False,0,,False,N/A,Media,False,0.81,False
13181,La atención al cliente fue maravillosa,Positivo,Hotel,2024-07-08,Monday,Noche,False,4,App Móvil,Medio,10,Atención,38,6,False,0,37.0,True,Resuelto,Baja,False,0.91,False
13182,"Excelente servicio, muy recomendado",Positivo,Soporte Técnico,2024-02-15,Thursday,Mañana,False,5,Web,Medio,12,Atención,35,4,False,0,41.0,True,N/A,Baja,False,0.79,True
13183,Mucho peor de lo esperado,Negativo,E-commerce,2024-04-02,Tuesday,Mañana,False,2,Web,Premium,51,Entrega,25,5,False,0,,False,N/A,Alta,True,0.88,False
13184,Cumple su función,Neutro,Banco,2024-01-16,Tuesday,Noche,False,3,Email,Medio,23,Atención,17,3,False,0,34.0,True,N/A,Baja,False,0.89,False
13185,Servicio regular. Nada especial pero funciona,Neutro,Soporte Técnico,2024-07-22,Monday,Tarde,False,3,Web,Premium,35,Atención,45,6,False,0,18.0,True,Resuelto,Baja,False,0.7,True
13186,No cumple expectativas. El personal fue muy grosero,Negativo,Hotel,2024-10-16,Wednesday,Tarde,False,1,Teléfono,Medio,57,Atención,51,8,False,0,,False,N/A,Media,False,0.84,False
13187,Para nada recomendable!,Negativo,Servicio,2024-06-11,Tuesday,Noche,False,1,Teléfono,Medio,64,Calidad,23,3,False,1,38.0,True,Resuelto,Media,False,0.75,True
13188,La mejor compra que he hecho,Positivo,E-commerce,2024-02-16,Friday,Tarde,False,5,Web,Medio,58,Precio,28,6,False,0,28.0,True,N/A,Baja,False,0.8,False
13189,Estoy encantado con el producto!,Positivo,Soporte Técnico,2025-09-18,Thursday,Tarde,False,4,Tienda Física,Económico,75,Entrega,32,5,False,1,41.0,True,N/A,Baja,False,0.85,False
13190,"Producto genial, lo adoro. El mejor lugar para comprar",Positivo,Delivery,2024-01-29,Monday,Tarde,False,4,Tienda Física,Medio,40,Entrega,54,9,False,0,22.0,True,Resuelto,Baja,False,0.89,False
13191,Producto básico pero funcional,Neutro,Hotel,2025-07-10,Thursday,Noche,False,3,Email,Medio,14,Atención,30,4,False,0,,False,N/A,Baja,False,0.8,False
13192,Ni más ni menos,Neutro,Servicio,2025-07-21,Monday,Tarde,False,3,Tienda Física,Económico,8,Precio,15,4,False,0,36.0,True,Resuelto,Baja,False,0.62,True
13193,Maravillosa experiencia. Maravillosa experiencia,Positivo,Servicio,2024-02-02,Friday,Noche,False,4,Teléfono,Premium,21,Calidad,48,4,False,0,31.0,True,N/A,Baja,False,0.92,False
13194,Atención deplorable. Muy mala relación calidad-precio!!,Negativo,Aplicación Móvil,2025-06-03,Tuesday,Noche,False,1,Teléfono,Premium,28,Atención,55,6,False,2,,False,N/A,Alta,True,0.96,False
13195,Nada especial pero funciona,Neutro,Banco,2025-11-03,Monday,Mañana,False,3,Tienda Física,Económico,72,Precio,27,4,False,0,,False,N/A,Baja,False,0.8,False
13196,Ni bueno ni malo. Es un producto normal,Neutro,Tienda Online,2025-12-14,Sunday,Mañana,True,3,Email,Económico,76,Calidad,39,8,False,0,19.0,True,Resuelto,Baja,False,0.8,False
13197,Precio estándar. Es un producto promedio,Neutro,Tienda Online,2025-01-03,Friday,Mañana,False,3,Teléfono,Económico,12,Precio,40,6,False,0,,False,N/A,Baja,False,0.71,True
13198,"Súper recomendado, volveré sin duda. Resolvieron mi problema rápidamente",Positivo,Hotel,2024-04-07,Sunday,Noche,True,4,Tienda Física,Medio,86,Precio,72,9,False,0,24.0,True,Resuelto,Baja,False,0.84,False
13199,Cumple lo básico,Neutro,Servicio,2024-06-26,Wednesday,Mañana,False,3,Teléfono,Medio,65,Calidad,16,3,False,0,6.0,True,Resuelto,Baja,False,0.62,True
13200,"Muy satisfecho, volveré pronto. Atención de primera clase",Positivo,Banco,2024-03-11,Monday,Noche,False,4,Web,Económico,20,Atención,57,8,False,0,11.0,True,Resuelto,Baja,False,0.97,False
13201,Producto común,Neutro,Tienda Online,2025-09-14,Sunday,Mañana,True,3,Chat,Económico,61,Producto Defectuoso,14,2,False,0,13.0,True,Resuelto,Media,False,0.75,True
13202,El equipo de soporte fue increíble,Positivo,Hotel,2025-07-03,Thursday,Noche,False,5,App Móvil,Medio,23,Atención,34,6,False,0,40.0,True,N/A,Baja,False,0.76,True
13203,No me gustó para nada,Negativo,Soporte Técnico,2024-10-28,Monday,Mañana,False,1,App Móvil,Económico,22,Precio,21,5,False,0,34.0,True,Resuelto,Media,False,0.74,True
13204,Muy feliz con mi pedido. Calidad que vale la pena!,Positivo,Delivery,2024-04-26,Friday,Tarde,False,4,Email,Medio,88,Precio,50,10,False,1,,False,N/A,Baja,False,0.77,True
13205,Está bien para el precio,Neutro,Servicio,2025-04-07,Monday,Noche,False,3,Web,Medio,27,Precio,24,5,False,0,27.0,True,N/A,Baja,False,0.71,True
13206,"Muy satisfecho, volveré pronto",Positivo,Hotel,2025-08-18,Monday,Tarde,False,5,Chat,Medio,6,Atención,30,4,False,0,30.0,True,Resuelto,Baja,False,0.95,False
13207,La atención al cliente fue maravillosa. Resolvieron mi problema rápidamente,Positivo,Hotel,2025-06-26,Thursday,Noche,False,5,Email,Medio,49,Atención,75,10,False,0,15.0,True,N/A,Baja,False,0.83,False
13208,ME arrepiento de haber comprado. Estoy disgustado,Negativo,Aplicación Móvil,2024-10-14,Monday,Mañana,False,2,Web,Económico,67,Entrega,49,7,False,0,67.0,True,Resuelto,Alta,True,0.89,False
13209,Servicio estándar,Neutro,Servicio,2024-03-19,Tuesday,Noche,False,3,Chat,Económico,41,Atención,17,2,False,0,31.0,True,N/A,Baja,False,0.87,False
13210,"Espectacular, sin quejas. Atención de primera clase",Positivo,Producto,2025-01-23,Thursday,Noche,False,4,Teléfono,Medio,59,Atención,51,7,False,0,25.0,True,N/A,Baja,False,0.92,False
13211,Calidad que vale la pena. Resolvieron mi problema rápidamente,Positivo,Delivery,2024-05-02,Thursday,Tarde,False,4,Tienda Física,Premium,27,Calidad,61,9,False,0,2.0,True,Resuelto,Baja,False,0.79,True
13212,"Muy satisfecho, volveré pronto. La calidad es excepcional",Positivo,Banco,2025-06-20,Friday,Noche,False,5,Tienda Física,Premium,60,Calidad,57,8,False,0,,False,N/A,Baja,False,0.91,False
13213,"Increíble experiencia, todo perfecto. Producto excelente, justo lo que buscaba",Positivo,Soporte Técnico,2024-08-30,Friday,Mañana,False,5,Email,Medio,63,Calidad,78,10,False,0,10.0,True,Resuelto,Baja,False,0.87,False
13214,Me decepcionó completamente. Malo en todos los aspectos,Negativo,Tienda Online,2025-04-13,Sunday,Mañana,True,2,Chat,Medio,55,Producto Defectuoso,55,8,False,0,73.0,True,No Resuelto,Alta,True,0.84,False
13215,"PÉSIMO servicio, no lo recomiendo!!",Negativo,Aplicación Móvil,2025-12-05,Friday,Noche,False,2,Chat,Económico,104,Atención,35,5,False,2,,False,N/A,Alta,True,0.73,True
13216,Es un producto promedio. Es aceptable para uso básico,Neutro,Aplicación Móvil,2024-12-30,Monday,Tarde,False,3,App Móvil,Premium,72,Atención,53,9,False,0,,False,N/A,Baja,False,0.74,True
13217,"Está bien, pero podría mejorar",Neutro,Tienda Online,2025-04-13,Sunday,Noche,True,3,Tienda Física,Económico,67,Precio,30,5,False,0,60.0,True,N/A,Baja,False,0.65,True
13218,Muy mala relación CALIDAD-PRECIO,Negativo,E-commerce,2025-10-09,Thursday,Mañana,False,1,Web,Medio,18,Calidad,32,4,True,0,53.0,True,Resuelto,Alta,True,0.86,False
13219,Producto de baja calidad,Negativo,Delivery,2025-06-25,Wednesday,Mañana,False,1,Web,Económico,77,Calidad,24,4,False,0,,False,N/A,Media,False,0.9,False
13220,Servicio regular,Neutro,Producto,2024-08-28,Wednesday,Mañana,False,3,Chat,Económico,20,Atención,16,2,False,0,47.0,True,N/A,Baja,False,0.77,True
13221,"Producto genial, lo adoro",Positivo,Tienda Online,2025-10-14,Tuesday,Mañana,False,4,Teléfono,Económico,82,Entrega,25,4,False,0,13.0,True,Resuelto,Baja,False,0.81,False
13222,Llegó roto y mal empaquetado!!,Negativo,E-commerce,2024-05-24,Friday,Noche,False,1,App Móvil,Premium,15,Entrega,30,5,False,2,15.0,True,En Proceso,Alta,True,0.73,True
13223,Servicio deficiente!,Negativo,Soporte Técnico,2025-09-07,Sunday,Mañana,True,2,Tienda Física,Económico,111,Atención,20,2,False,1,20.0,True,No Resuelto,Media,False,0.81,False
13224,Producto defectuoso. No resolvieron mi problema,Negativo,Banco,2025-06-13,Friday,Noche,False,2,Teléfono,Medio,99,Producto Defectuoso,47,6,False,0,,False,N/A,Alta,True,0.9,False
13225,Una pérdida de dinero,Negativo,Soporte Técnico,2024-05-06,Monday,Noche,False,2,Chat,Medio,39,Atención,21,4,False,0,,False,N/A,Media,False,0.7,True
13226,Atención deplorable,Negativo,Servicio,2024-08-07,Wednesday,Tarde,False,1,Email,Premium,30,Atención,19,2,False,0,,False,N/A,Media,False,0.9,False
13227,Producto regular. Nada del otro mundo,Neutro,E-commerce,2025-04-20,Sunday,Noche,True,3,Tienda Física,Medio,62,Producto Defectuoso,37,6,False,0,,False,N/A,Media,False,0.66,True
13228,Nada del otro mundo,Neutro,Soporte Técnico,2023-12-22,Friday,Noche,False,3,Tienda Física,Premium,48,Producto Defectuoso,19,4,False,0,,False,N/A,Media,False,0.78,True
13229,"Me gustó mucho, es justo lo que necesitaba",Positivo,Banco,2025-06-24,Tuesday,Noche,False,4,Chat,Premium,54,Entrega,42,8,False,0,17.0,True,N/A,Baja,False,0.77,True
13230,"Muy buena experiencia de compra. Espectacular, sin quejas",Positivo,Servicio,2024-11-20,Wednesday,Tarde,False,5,Email,Económico,14,Precio,57,8,False,0,,False,N/A,Baja,False,0.89,False
13231,"Pésimo servicio, no lo recomiendo",Negativo,Tienda Online,2025-09-13,Saturday,Noche,True,2,Web,Medio,92,Atención,33,5,False,0,52.0,True,No Resuelto,Media,False,0.87,False
13232,Atención de primera clase,Positivo,Banco,2024-07-04,Thursday,Tarde,False,4,App Móvil,Económico,43,Atención,25,4,False,0,41.0,True,N/A,Baja,False,0.95,False
13233,"Atención personalizada, me encantó!",Positivo,Producto,2024-03-11,Monday,Tarde,False,4,Web,Económico,38,Atención,35,4,False,1,15.0,True,Resuelto,Baja,False,0.87,False
13234,Servicio lento y deficiente. NO resolvieron mi problema!,Negativo,Producto,2024-04-22,Monday,Noche,False,1,Tienda Física,Económico,69,Atención,56,8,False,1,33.0,True,Resuelto,Media,False,0.7,True
13235,Todo salió mal,Negativo,Tienda Online,2025-01-03,Friday,Mañana,False,1,App Móvil,Premium,25,Producto Defectuoso,14,3,False,0,,False,N/A,Alta,True,0.98,False
13236,Servicio regular,Neutro,Banco,2024-12-06,Friday,Noche,False,3,Chat,Premium,6,Atención,16,2,False,0,59.0,True,Resuelto,Baja,False,0.72,True
13237,Producto regular,Neutro,Aplicación Móvil,2024-07-23,Tuesday,Tarde,False,3,Web,Premium,36,Producto Defectuoso,16,2,False,0,,False,N/A,Media,False,0.66,True
13238,"Atención de primera clase. Muy recomendable, sin dudas!",Positivo,Banco,2025-07-26,Saturday,Noche,True,4,Teléfono,Medio,59,Atención,55,8,False,1,40.0,True,Resuelto,Baja,False,0.89,False
13239,Mejor de lo que esperaba. Servicio profesional y eficiente,Positivo,Producto,2024-11-07,Thursday,Noche,False,4,App Móvil,Medio,21,Atención,58,9,False,0,4.0,True,Resuelto,Baja,False,0.83,False
13240,Ni bueno ni malo,Neutro,Restaurante,2025-10-14,Tuesday,Mañana,False,3,App Móvil,Medio,32,Atención,16,4,False,0,24.0,True,Resuelto,Baja,False,0.87,False
13241,"Excelente servicio, muy recomendado",Positivo,Servicio,2024-06-05,Wednesday,Mañana,False,4,Teléfono,Premium,78,Atención,35,4,False,0,6.0,True,Resuelto,Baja,False,0.76,True
13242,No vale lo que cuesta. El servicio fue malísimo!!,Negativo,Restaurante,2025-08-28,Thursday,Noche,False,1,Teléfono,Medio,13,Atención,49,9,False,2,42.0,True,En Proceso,Alta,True,0.71,True
13243,"Servicio regular. Es lo que esperaba, nada más",Neutro,Banco,2025-07-08,Tuesday,Noche,False,3,Teléfono,Económico,41,Atención,46,8,False,0,,False,N/A,Baja,False,0.72,True
13244,Muy feliz con mi pedido. Servicio rápido y eficiente,Positivo,Restaurante,2025-09-18,Thursday,Mañana,False,5,Teléfono,Premium,26,Atención,52,9,False,0,43.0,True,Resuelto,Baja,False,0.98,False
13245,Mejor de lo que esperaba. Quedé muy satisfecho con todo,Positivo,Restaurante,2025-09-06,Saturday,Mañana,True,4,Chat,Medio,30,Entrega,55,10,False,0,32.0,True,Resuelto,Baja,False,0.95,False
13246,Producto común,Neutro,Hotel,2024-04-21,Sunday,Mañana,True,3,Tienda Física,Medio,21,Entrega,14,2,False,0,,False,N/A,Media,False,0.88,False
13247,"Todo llegó en perfectas condiciones. Muy satisfecho, volveré pronto",Positivo,Tienda Online,2025-07-27,Sunday,Mañana,True,4,Email,Medio,50,Entrega,67,9,False,0,,False,N/A,Baja,False,0.87,False
13248,Muy buen empaquetado y producto,Positivo,Aplicación Móvil,2025-02-10,Monday,Noche,False,5,Web,Premium,20,Entrega,31,5,False,0,39.0,True,Resuelto,Baja,False,0.94,False
13249,Muy profesionales y atentos. Atención rápida y efectiva,Positivo,E-commerce,2025-04-19,Saturday,Tarde,True,4,Web,Premium,6,Atención,55,8,False,0,,False,N/A,Baja,False,0.83,False
13250,Atención descortés. Servicio lamentable,Negativo,Restaurante,2024-09-15,Sunday,Tarde,True,1,Teléfono,Premium,26,Atención,39,4,False,0,25.0,True,En Proceso,Media,False,0.78,True
13251,Producto magnífico,Positivo,Soporte Técnico,2025-12-10,Wednesday,Noche,False,5,Email,Medio,78,Calidad,18,2,False,0,23.0,True,Resuelto,Baja,False,0.87,False
13252,Correcto para lo que cuesta,Neutro,E-commerce,2025-09-14,Sunday,Noche,True,3,Teléfono,Medio,20,Atención,27,5,False,0,,False,N/A,Baja,False,0.7,True
13253,El personal fue muy amable y atento,Positivo,Servicio,2024-07-31,Wednesday,Noche,False,5,Web,Premium,21,Atención,35,7,False,0,,False,N/A,Baja,False,0.95,False
13254,Llegó en malas condiciones. Para NADA recomendable!,Negativo,Delivery,2025-07-09,Wednesday,Noche,False,2,Teléfono,Medio,31,Entrega,51,7,False,1,,False,N/A,Alta,True,0.93,False
13255,Es lo que es,Neutro,Soporte Técnico,2025-12-10,Wednesday,Tarde,False,3,Web,Medio,9,Entrega,12,4,False,0,53.0,True,N/A,Media,False,0.81,False
13256,El servicio al cliente es terrible,Negativo,Producto,2024-10-12,Saturday,Noche,True,1,Web,Medio,9,Atención,34,6,False,0,,False,N/A,Media,False,0.8,False
13257,Todo salió mal,Negativo,Servicio,2025-01-02,Thursday,Noche,False,1,Chat,Premium,120,Calidad,14,3,False,0,31.0,True,En Proceso,Media,False,0.93,False
13258,Atención de primera clase,Positivo,Delivery,2024-01-18,Thursday,Noche,False,5,App Móvil,Premium,36,Atención,25,4,False,0,40.0,True,Resuelto,Baja,False,0.85,False
